Tournees,weight
Le_Rose_Bonbon,4
Tournee_1982,6
Les_Dix_Jours_De_Pekin,14
Peril_Jaune_Tour,29
Tour_Scandinave_Concert_SOS_Racisme,9
Indochine_Joue,55
Tour_88,38
Le_Birthday_Tour,20
Une_Nuit_Dans_Votre_Ville,17
Wax_Tour,19
Live_Tour,15
Indo_Tour_99,12
Dancetaria_Tour,45
Une_Nuit_Intime_Avec_Indochine,31
Paradize_Tour,94
Alice_&_June_Tour,65
Hanoi_25_Ans,2
Meteor_Tour,66
Stade_De_France_Putain_De_Stade,1
Paradize_Plus_10,2
Black_City_Tour,65
Stade_De_France_Black_City_Concerts,2
Europe_City_Club_Tour,8
Concerts_2015,2
Festival_Tour_2016,7
Concerts_2017,2
13_Tour,60
Concerts_2020,3
Concerts_2021,4
Central_Tour_Tournee_Des_Stades,6
Concerts_2023,11
Concerts_2024,2
Arena_Tour,69
