Villes,weight
Paris,85
Lyon,32
Vincennes ,2
Bruxelles ,43
Orleans,13
Nancy,11
Bourges,5
Seraing,2
Tours,3
Chartres ,1
Vendome,1
Annonay,1
Rennes ,8
Saint-Lo,1
Dinan,1
Lille,27
Sion,2
Lausanne ,7
Geneve,12
Annecy ,4
Montelimar ,1
Romans-sur-Isere ,1
Montpellier ,15
Aix-En-Provence ,5
Saint-Jean,1
Carcassonne,4
Bordeaux ,20
Limoges,9
Clermont-Ferrand,18
Saint-Etienne,11
La-Cote-Saint-Andre,1
Reims,12
Liege ,7
Colmar,7
Strasbourg,20
Namur,4
Stockholm,4
Hultsfred,1
Orebro,1
Lund,1
Goteborg ,1
Copenhague,2
Champigny_Sur_Marne,1
Montrouge ,1
Les Ulis,1
Sevran,2
Rouen,15
Dijon,15
Mulhouse,3
Besancon ,4
Bourg-En-Bresse,1
Nice,7
Toulon,3
Nîmes,5
Perpignan ,2
Toulouse,19
Pau,6
Castres,1
Gueret,1
Millau,1
Caen,11
Melun ,2
Nantes,22
Angers,5
Verneuil,2
La Rochelle,3
Redon,1
Monaco,1
Antibes,1
Vaison-La-Romaine,2
Beziers,1
Nyon,6
Hyeres,1
Marseille,10
Bayonne,1
Royan,1
Grenoble,5
Lievin ,1
Epinal,1
Avignon,1
Le_Mans,5
Amiens,9
Poitiers,2
Montréal,9
Lima,4
Vitrolles,1
Saint-Denis-De-La-Reunion ,2
Yerres,1
Berck,2
Roberval,1
Chicoutimi,1
Quebec,3
Agen,1
Stavelot,1
Virton,1
Delemont,1
Avion,1
Sandillon,1
Tremblay,1
Pellegrue,1
Vieux-Condé,1
Spa,3
Wattrelos,1
Bar-Le-Duc,1
Change-Les-Laval,1
Chauny,1
Minervois,1
Auxerre,1
Arras,3
Mouscron,2
Compiegne,1
Maubeuge,1
Benassay,2
Plouenan,1
Peronne,1
Henin-Beaumont,1
Saint-Imier,1
Chateauroux,2
Quimper,2
Colombes,1
Torcy,1
Beauvais,4
Voiron,1
Hirson,1
Amneville,13
Le_Havre,4
Bex,1
Sons,1
Gournay,1
Sete,1
Le_Lavandou,1
Romorantin,1
Tournai,1
Arlon,1
La_Louviere,1
Aulnoyes-Aymeries,1
Dunkerque,2
Thionville,1
Gerardmer,1
Neuves-maisons,1
Bitche,1
Charleville-Mezieres,3
Longlaville,1
Chalon-Sur-Saone,3
Le Chesnay,1
Saint-Quentin,1
Creil,1
Albert,1
Mons,1
Les_Herbiers,1
Mayenne,1
Albi,3
Rouergue,1
Biarritz,1
Pontivy,1
Sarreguemines,1
Porcieu-Amblagnieu,1
Luxembourg,6
Macon,2
Aix-Les-Bains,4
Dour,1
Saint-Martin-De-Crau,1
Calais,1
Brive,1
Zurich,1
Neufchatel,1
Troyes,2
Montlucon,2
Brest,2
La-Roche-Sur-Yon,2
Lorient,2
Saint-Malo,3
Vienne,1
Fontenay-Le-Comte,1
Bobital,1
Hanoi,2
Chambery,1
Epernay,3
Douai,7
Angouleme,1
Carhaix,2
Montbeliard,1
Roanne,1
Boulazac,1
Aurillac,1
Trelaze ,2
Argeles,2
Londres,2
Barcelone,1
Milan,1
Berlin,1
Oslo ,1
Anvers,1
Amsterdam,1
New York,1
Saint-Laurent-De-Cuves,1
Saint-Malo-Du-Bois,1
Landerneau,1
Marmande,1
Saint-Nolff,1
Nort-Sur-Erdre,1
Belfort,1
Herouville-Saint-Clair,1
Braine-Le-Comte,1
Roissy-En-France,1
